site,date,Clorofila a (laboratorio/campo),Clorofila de cianobacterias (FluoroProbe),Clorofila total (FluoroProbe),Biovolumen de cianobacterias (µm³/mL),% cianobacterias (biovolumen),lat,lon,embalse,punto,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B11,dias_desfase,NDCI,PCI,MCI,3BDA,B5-B4,Turbidez(B4),SABI,FAI,CI_cyano,B3/B4,B5/B3,NDVI,"Sombra 620 (B3,B4)"
sp16,2026-06-18,1.046,0.16777777777777778,0.7688888888888888,,,42.174426917454,-2.674036771414,GONZALEZ LACASA,GON-P1,0.01670847838293094,0.018079000561482317,0.027531499157776536,0.02670123526108928,0.02572672655811343,0.02019326221224032,0.02460050533408198,0.028711173498034818,0.03622223469960697,0.05119550814149355,3,-0.01858757558297676,0.9635032352081492,0.0024964102564102616,-0.02864681364244064,-0.0009745087029758501,0.02670123526108928,0.04406744607748401,-0.0025778779533523997,-0.0024964102564102616,1.0310945875188466,0.9344469914507605,0.03627234913541972,7.212240314429658e-05
sp16,2026-08-31,0.7866000000000001,0.12043478260869565,1.2304347826086957,,,42.174426917454,-2.674036771414,GONZALEZ LACASA,GON-P1,0.03957473329590118,0.05789629421673218,0.0679842223469961,0.04722470522178551,0.0474243121841662,0.05277855137563168,0.04785092644581696,0.08217484559236388,0.0408722066254913,0.06374087591240878,1,0.0021089174283190747,1.0042267487206804,-0.0027624443196706014,0.004703951712362148,0.00019960696238068704,0.04722470522178551,0.2776453523122024,0.03185663538408067,0.0027624443196706014,1.4395901896627168,0.697578210751743,0.27009475806276667,-0.010479562043795632
sp17,2024-04-30,2.8000799999999995,,,0.0,0.0,42.709416562495996,-1.9472765021039,ALLOZ,ALL-P1,0.0607192676056338,0.07420670422535214,0.09145504225352113,0.026037746478873247,0.018272,0.00893267605633803,0.007503098591549298,0.00704050704225352,0.006877859154929578,0.010883774647887326,2,-0.1752604583864169,0.7017504381504639,0.0013569577464788672,-0.14580597197606499,-0.007765746478873247,0.026037746478873247,-0.1146748711781958,-0.016158876458752525,-0.0013569577464788672,3.5124023627669465,0.19979215524660157,-0.5743120453589355,-0.02882577464788732
sp17,2025-05-29,0.3334000000000001,0.09,1.1,164.2196571428571,9.976880604781755,42.709416562495996,-1.9472765021039,ALLOZ,ALL-P1,0.03546478873239437,0.04743938028169014,0.05253166197183099,0.008765577464788734,0.004871211267605634,0.00014326760563380283,0.0014975774647887324,0.001343943661971831,0.00047876056338028167,0.0035443380281690146,0,-0.28557795193614627,0.555720520088181,0.0007041990610328636,-0.013066741272850617,-0.0038943661971830995,0.008765577464788734,-0.07423783563240285,-0.006443687368656384,-0.0007041990610328636,5.992949373027656,0.092729053008407,-0.7341231804908495,-0.019935859154929576
sp17,2025-08-19,10.65,0.556923076923077,5.205384615384616,13514.37168,62.788872416499515,42.709416562495996,-1.9472765021039,ALLOZ,ALL-P1,0.060026985915492964,0.08460963380281691,0.09547616901408451,0.031114478873239437,0.02651149295774649,0.01587115492957747,0.016799380281690143,0.01778749295774648,0.01964523943661972,0.03528377464788733,2,-0.07987693342497149,0.8520628954048841,0.003526786854460104,-0.08856282483239554,-0.004602985915492946,0.031114478873239437,-0.07400353446541756,-0.014107901632014308,-0.003526786854460104,3.0685446927475457,0.27767654726317675,-0.27252451008628925,-0.029879352112676064
sp17,2025-09-08,1.05274664,0.21655172413793106,0.8410344827586207,210.74856000000003,11.542497376705144,42.709416562495996,-1.9472765021039,ALLOZ,ALL-P1,0.062317014084507044,0.09297526760563384,0.10058208450704226,0.021550929577464788,0.010665239436619718,8.585915492957749e-05,0.0006249014084507042,0.00018005633802816904,0.00016270422535211268,0.0052846197183098595,1,-0.3378952393776548,0.4948853550972606,0.0005623474178403746,-0.004066361267520522,-0.01088569014084507,0.021550929577464788,-0.11041106424619784,-0.018324167583277443,-0.0005623474178403746,4.667180788907508,0.10603518001133681,-0.9834286084645797,-0.0340727323943662
sp17,2026-04-20,0.1393000000000003,0.5704166666666667,0.655,0.0,0.0,42.709416562495996,-1.9472765021039,ALLOZ,ALL-P1,0.04574535211267605,0.06473571830985915,0.07765780281690142,0.016466197183098594,0.008868112676056339,0.0022500281690140847,0.0032094647887323945,0.00520118309859155,0.0066646760563380284,0.015914591549295774,2,-0.2999128276745448,0.5385647078949619,-1.6127699530517174e-05,-0.11707591494826226,-0.007598084507042255,0.016466197183098594,-0.0791118443828549,-0.011161697473731278,1.6127699530517174e-05,4.71619536395518,0.11419474095816531,-0.519906603292806,-0.026796760563380283
sp17,2026-08-27,0.04430000000000035,0.37277777777777776,1.4083333333333332,,,42.709416562495996,-1.9472765021039,ALLOZ,ALL-P1,0.06254659154929579,0.08622664788732394,0.10169707042253523,0.016775154929577468,0.006221239436619719,0.0,0.0,0.0,0.0,0.008743267605633803,3,-0.45893783716247005,0.37086032664000074,-0.0016071661971830981,-0.0,-0.010553915492957748,0.016775154929577468,-0.08926576741057056,-0.015270769684775322,0.0016071661971830981,6.06236251465111,0.06117422469272176,-1.0,-0.03718400000000001
sp19,2025-04-09,4.7983199999999995,,,251.46135000000004,11.53592617007251,42.983377942532,-2.6478397886712,URRUNAGA,URR-P2,0.022057962858750703,0.033211873944850874,0.0453312324141812,0.03424862127180642,0.029497355092853127,0.021139561057962858,0.02137203151378728,0.021162577377602697,0.019985143500281376,0.032504108047270684,0,-0.07453436985220245,0.8612713153838824,0.0022402326017632746,-0.09942123589392063,-0.00475126617895329,0.03424862127180642,-0.1666097064506908,-0.012759293798179566,-0.0022402326017632746,1.323592913548845,0.6507071068208001,-0.23616244032185837,-0.003165672481710749
sp19,2025-06-23,3.113333333333333,,,1175.6634545454544,28.984573765740226,42.983377942532,-2.6478397886712,URRUNAGA,URR-P2,0.025797411367473266,0.035700844119302196,0.037311198649409114,0.032645920090039394,0.03539195272931908,0.03462318514350028,0.03988069780528981,0.039891221159257174,0.04169881823297692,0.048513618458075405,2,0.04036035410117014,1.0841156454376524,0.0016914912774338806,0.08228852439216329,0.002746032639279687,0.032645920090039394,0.09923432894720612,0.0042732559780618296,-0.0016914912774338806,1.1429054088995685,0.9485611293776962,0.09988401726940185,-0.003705655599324703
sp19,2025-09-15,4.062100000000001,0.4504123711340206,0.5969072164948453,5029.227000000001,51.95961995249405,42.983377942532,-2.6478397886712,URRUNAGA,URR-P2,0.017252279122115924,0.027644344400675293,0.03576961170512099,0.025379234665166006,0.024668373663477773,0.023338041643218906,0.022345694991558803,0.02235588069780529,0.023433370849746765,0.03427563308947664,1,-0.014203695749460728,0.9719904476605862,0.000377775276683554,-0.02649903507311324,-0.000710861001688233,0.025379234665166006,-0.04767647617374197,-0.004689663513501436,-0.000377775276683554,1.4094046639718487,0.6896461126511503,-0.06333605657745968,-0.004839758019133375
sp19,2025-12-12,0.9065999999999999,0.779,1.182,109.206072,16.496635554590842,42.983377942532,-2.6478397886712,URRUNAGA,URR-P2,0.02902481710748453,0.03877540799099606,0.03832346651660101,0.02713303320202589,0.02407929093978616,0.022419414743950483,0.023744063027574563,0.022131176139561056,0.022687169386606643,0.02605706246482837,1,-0.059629050495416176,0.8874529714572522,-0.0005398124179328478,-0.10478873806578555,-0.0030537422622397316,0.02713303320202589,-0.06487587652102453,-0.004800326035497678,0.0005398124179328478,1.412428394247481,0.62831714164885,-0.10153125624696588,-0.004068345526167694
