fecha,pc,pc_max,temp_agua,n,t_aire,rad,viento,lluvia,ndci,edad_ndci,nivel_pct,t_aire_3d,t_aire_7d,t_aire_14d,t_aire_30d,rad_7d,viento_7d,lluvia_7d,rad_14d,viento_14d,lluvia_14d,calentamiento_7d,sin_doy,cos_doy,temp_agua_ayer
2024-03-29,7.8447272727272725,12.88,13.881454545454545,275,9.42602119445803,4.163766,1.5822418362592443,11.932343244552612,0.0878183467000235,11,54.16666666666666,8.192832353380007,9.781715919857959,11.745095280238578,9.12250330183243,15.888243714285712,2.846440083963659,21.557755805417855,16.560472330357143,2.015342619293166,24.303823861448137,0.6592126180255296,0.9992088560679753,0.03977011384605572,14.178260869565218
2024-03-30,7.845890909090909,13.76,13.392727272727273,275,7.275738016764365,17.603962,2.943595859948558,2.471750974564202,0.0878183467000235,12,54.16666666666666,9.39463810390898,8.818585150582473,11.5849041984195,9.253358692593062,13.559308571428572,2.9811399996805,33.44588432452156,15.840425267857142,2.0142295903295135,35.93858567764485,-0.43477354201058915,0.9997451236925734,0.022576263041545485,13.881454545454545
2024-03-31,8.505265151515152,14.8,13.174621212121211,264,7.027051544189476,12.562126,3.1802688504796173,3.388753271792666,0.0878183467000235,13,54.16666666666666,9.180573399861677,8.273814410255097,11.208464059375602,9.237177276611346,13.371278,2.851936747639757,35.835512019616544,15.824354035714284,2.137013633147643,38.31994190621302,-0.963362866356249,0.9999855506507186,0.005375731557583884,13.392727272727273
2024-04-01,7.419386281588448,13.74,12.933574007220217,277,8.151017761230491,20.189286,3.857881778156379,1.1164426802565686,0.0878183467000235,14,54.16666666666666,7.90960358513729,8.045426759265743,10.656696755545502,9.258963457743345,12.02891942857143,2.905572742654892,39.22341294509124,15.446766763392857,2.29318152807621,41.70783687112589,-1.2135366984776024,0.9999300657962057,-0.011826390691832589,13.174621212121211
2024-04-02,6.886618181818182,11.11,12.889454545454546,275,8.889798100789392,12.190218,3.070218137643465,0.30153244642860955,0.0878183467000235,15,54.16666666666666,7.484602440728111,8.065475082397484,10.220015008108978,9.30907802581789,14.268416571428572,3.156774247373044,31.787502503789256,15.648188937499999,2.5145471768348355,42.8024038753847,-1.243602943420406,0.9995786855478958,-0.029025013321975237,12.933574007220217
2024-04-03,5.961345454545454,9.86,12.886909090909091,275,11.897701517740927,21.2279,2.066552759202869,0.0006556510925292969,,16,54.16666666666666,8.022622468736452,8.503931390671523,9.81713279542471,9.47849958207874,14.156731142857144,3.382555702634401,20.86621049591031,15.125155745535716,2.680669651934224,42.698803318444334,-0.9745681914072168,0.9989315138848577,-0.046215046983708354,12.889454545454546
2024-04-04,5.373818181818182,10.04,13.345818181818181,275,13.977079645792685,23.083262,2.2425959715561405,0.0017220344261659193,,17,54.16666666666666,9.64617245992027,9.072469874790759,9.647591936020648,9.682507938808884,14.956826285714287,3.0753054047090678,20.180977618281304,15.396009714285713,2.6593111880664013,41.187408340874754,-0.6100380640181253,0.9979887423155984,-0.06339140486951038,12.886909090909091
2024-04-05,5.099018181818182,10.2,13.668363636363637,275,16.10828806559249,18.162982,2.7494236944568025,0.0004351138613856165,,18,54.16666666666666,11.588193088107667,9.520629682995052,9.651172801426506,9.954395824008538,15.860074285714287,2.7061935990351818,19.213200303113354,15.874159,2.77631684149942,40.77095610853121,-0.43376614101348565,0.9967506498213929,-0.08054900421874167,13.345818181818181
2024-04-06,5.172254545454545,10.57,13.308727272727273,275,17.588253911336267,19.747076,3.29965535671451,0.1981735228469006,,19,54.16666666666666,13.9943564097087,10.47523923601426,9.646912193298366,10.293347697787834,17.859962285714285,2.872933864491976,7.281292172422127,15.70963542857143,2.9270369320862377,40.727176496943684,0.18189153822642723,0.9952176027737294,-0.09768276782171598,13.668363636363637
2024-04-07,4.161127272727272,8.39,14.350909090909092,275,16.564606602986657,16.045002,1.747782402410655,5.00387549396919,,20,54.16666666666666,15.891207207573814,11.948455792381676,10.111135101318386,10.610197406344962,18.16612142857143,2.9237995068871117,5.007714720704826,15.768699714285715,2.887868127263434,40.84322674032137,1.3382583860367134,0.9933900548258936,-0.11478762552212701,13.308727272727273
