B1,B11,B2,B3,B4,B5,B6,B7,B8,B8A,agua,id,nubes300,t
0.05000672645739911,0.024300504484304937,0.07345695067264575,0.11758122197309416,0.047565582959641264,0.049836715246636784,0.01865835201793722,0.02023290358744395,0.01747365470852018,0.018054652466367713,0.5184977578475336,20180718T110039_20180718T110326_T30TXM,0.004291893650802556,2018-07-18 11:03:26.633000+00:00
0.03549248878923767,0.011696020179372199,0.03557897982062781,0.06033755605381167,0.024827802690582962,0.031140807174887895,0.008303082959641257,0.008713060538116593,0.00712987668161435,0.006866143497757847,1.0,20180723T105621_20180723T110518_T30TWM,0.0028612624338683703,2018-07-23 11:05:18.017000+00:00
0.047914798206278024,0.0117820067264574,0.0435905269058296,0.06346020179372197,0.025710145739910314,0.032508576233183865,0.009534360986547086,0.009688116591928251,0.008005941704035876,0.007459473094170404,1.0,20180723T105621_20180723T110518_T30TXM,0.0028612624338683703,2018-07-23 11:05:18.017000+00:00
0.020964349775784756,0.031173206278026912,0.029192152466367718,0.03773609865470852,0.025390975336322872,0.03421132286995516,0.021349215246636775,0.023801961883408072,0.021175000000000006,0.02378828475336323,0.0,20180728T105619_20180728T110604_T30TWM,0.004291893650802556,2018-07-28 11:06:04.530000+00:00
0.0303932735426009,0.030090302690582965,0.0275542600896861,0.03537292600896861,0.022580437219730947,0.03241109865470853,0.017249495515695067,0.0188917600896861,0.016067881165919288,0.018603811659192827,0.0,20180728T105619_20180728T110604_T30TXM,0.004291893650802556,2018-07-28 11:06:04.530000+00:00
0.010763452914798206,0.007745123318385651,0.011388508968609868,0.01275162556053812,0.004284529147982064,0.017636491031390134,0.00010519724483406387,0.00014360269360269362,0.0001,0.0001,1.0,20180802T105621_20180802T105938_T30TWM,0.0028612624338683703,2018-08-02 10:59:38.888000+00:00
0.01823699551569507,0.009050336322869954,0.01975442825112108,0.018920291479820633,0.008592937219730944,0.02255980941704036,0.0017514896373056995,0.001766875,0.0009533632286995516,0.00037173766058147393,1.0,20180802T105621_20180802T105938_T30TXM,0.0028612624338683703,2018-08-02 10:59:38.888000+00:00
0.5574977578475337,0.1394392937219731,0.6755282511210763,0.5650621076233184,0.47456513452914806,0.46978845291479826,0.4307452914798206,0.41298587443946194,0.501146860986547,0.3901794843049328,0.0,20180807T105619_20180807T105912_T30TWM,1.0,2018-08-07 10:59:12.237000+00:00
0.3954903587443947,0.13948817264573993,0.45121008968609866,0.40963755605381175,0.3690034192825113,0.39715112107623324,0.38243721973094175,0.3709691704035874,0.4410155269058297,0.3568243834080717,0.0,20180807T105619_20180807T105912_T30TXM,1.0,2018-08-07 10:59:12.237000+00:00
1.1464053811659196,0.17571373318385655,1.0725236547085202,0.9557706278026907,0.8864130044843052,0.9611247197309416,0.8917321188340808,0.8454818946188343,0.8913895739910315,0.8044074551569507,0.0,20180812T105621_20180812T105840_T30TWM,1.0,2018-08-12 10:58:40.162000+00:00
1.4098443946188342,0.17367141255605378,1.2778969730941705,1.0990931614349777,0.9846242152466369,1.0745591928251121,0.9786677690582962,0.9127872197309417,0.9638263452914798,0.8611132286995518,0.0,20180812T105621_20180812T105840_T30TXM,1.0,2018-08-12 10:58:40.162000+00:00
0.3380747757847534,0.20888772421524668,0.27805095291479826,0.23366238789237673,0.20373167040358747,0.22672982062780273,0.22770033632286996,0.23846799327354262,0.23495420403587447,0.24236238789237674,0.0,20180817T105619_20180817T110514_T30TXM,0.6763631671369982,2018-08-17 11:05:14.624000+00:00
0.008971973094170404,0.007350840807174888,0.003134024663677131,0.011972141255605383,0.00761109865470852,0.01591065022421525,0.0027306614349775792,0.0032386210762331844,0.0014341367713004483,0.0021788116591928254,1.0,20180822T105621_20180822T110418_T30TWM,0.0028612624338683703,2018-08-22 11:04:18.291000+00:00
0.025338340807174887,0.006761995515695068,0.01748301569506727,0.016275616591928256,0.006576961883408072,0.015045123318385652,0.0010012152777777777,0.001399625,0.00019899103139013456,0.0004095732410611303,1.0,20180822T105621_20180822T110418_T30TXM,0.0028612624338683703,2018-08-22 11:04:18.291000+00:00
0.0013214125560538116,0.008008183856502243,0.0053873878923766825,0.007575952914798206,0.003412556053811659,0.0080484865470852,0.0020982256020278833,0.0018985645933014353,0.0012330030487804878,0.001133071748878924,1.0,20180827T110029_20180827T110638_T30TWM,0.0028612624338683703,2018-08-27 11:06:38.056000+00:00
0.010333183856502245,0.009189405829596415,0.017372029147982065,0.015029428251121076,0.007559529147982064,0.012624719730941706,0.00368895739910314,0.004712612107623319,0.0035968023255813957,0.0037408071748878924,1.0,20180827T110029_20180827T110638_T30TXM,0.0028612624338683703,2018-08-27 11:06:38.056000+00:00
0.006421412556053813,0.005178643497757848,0.0011355941704035875,0.002370683856502242,0.0001,0.020113004484304937,0.0002765287769784173,0.0012928333333333331,0.00016956278026905832,0.00014007490636704122,1.0,20180901T105621_20180901T105939_T30TWM,0.0028612624338683703,2018-09-01 10:59:39.499000+00:00
0.017640022421524668,0.005611995515695069,0.0064299887892376685,0.006064854260089687,0.00024770179372197315,0.02224063901345292,0.0011412455934195064,0.001495795964125561,0.00044372197309417046,0.0001,1.0,20180901T105621_20180901T105939_T30TXM,0.0028612624338683703,2018-09-01 10:59:39.499000+00:00
0.3172887892376682,0.29631619955156957,0.262659865470852,0.26833295964125564,0.2745785874439462,0.3071521300448431,0.3214531950672646,0.333033071748879,0.27065067264573994,0.3376842488789238,0.0,20180906T105639_20180906T110521_T30TWM,1.0,2018-09-06 11:05:21.976000+00:00
0.37579798206278037,0.29741821748878927,0.3039395179372198,0.29209517937219737,0.2877994394618834,0.3249993273542602,0.3340708520179372,0.34221625560538127,0.2735610426008969,0.3434734304932736,0.0,20180906T105639_20180906T110521_T30TXM,1.0,2018-09-06 11:05:21.976000+00:00
0.000280466472303207,0.013988565022421526,0.003792152466367714,0.012591535874439463,0.013767432735426011,0.03606081838565023,0.028315190582959646,0.028855829596412558,0.023303475336322876,0.019316535874439465,0.0,20180911T105621_20180911T110521_T30TWM,0.6070925646448949,2018-09-11 11:05:21.628000+00:00
0.0003560875512995896,0.011309753363228701,0.0001,0.0018706278026905832,0.0033155829596412563,0.025190470852017942,0.016059585201793725,0.016811042600896862,0.01300986547085202,0.0077982623318385656,0.0,20180911T105621_20180911T110521_T30TXM,0.6056619334279607,2018-09-11 11:05:21.628000+00:00
0.0001,0.0121542600896861,0.0009138452914798208,0.006076233183856504,0.0062127242152466376,0.017086322869955158,0.0034612107623318393,0.005401233183856503,0.004794562780269059,0.004164910313901346,1.0,20180916T105649_20180916T105958_T30TWM,0.0028612624338683703,2018-09-16 10:59:58.064000+00:00
0.010662219730941705,0.011573094170403591,0.009600336322869957,0.008351681614349777,0.005572477578475337,0.015295011210762332,0.001018273542600897,0.0023720852017937223,0.00209585201793722,0.0015782511210762334,0.0,20180916T105649_20180916T105958_T30TXM,0.43572538613017053,2018-09-16 11:09:22.330000+00:00
0.08323811659192826,0.06538335201793721,0.056680156950672654,0.056445627802690586,0.05104719730941706,0.07609865470852019,0.06721059417040359,0.06807903587443948,0.06443991031390135,0.06595263452914799,0.0,20180921T105731_20180921T110742_T30TXM,1.0,2018-09-21 11:07:42+00:00
0.14849562780269057,0.2072734865470852,0.15873464125560544,0.15461860986547085,0.14204630044843053,0.15984394618834083,0.17533929372197313,0.18444775784753367,0.2005885650224216,0.18637937219730943,0.0,20180926T110029_20180926T110028_T30TWM,0.13560700840986742,2018-09-26 11:00:28+00:00
