agua_1px,agua_3x3,agua_5x5,aot,nubes300,sr_1px_B11,sr_1px_B2,sr_1px_B3,sr_1px_B4,sr_1px_B5,sr_1px_B6,sr_1px_B7,sr_1px_B8A,sr_3x3_B11,sr_3x3_B2,sr_3x3_B3,sr_3x3_B4,sr_3x3_B5,sr_3x3_B6,sr_3x3_B7,sr_3x3_B8A,sr_5x5_B11,sr_5x5_B2,sr_5x5_B3,sr_5x5_B4,sr_5x5_B5,sr_5x5_B6,sr_5x5_B7,sr_5x5_B8A,t,toa_1px_B11,toa_1px_B2,toa_1px_B3,toa_1px_B4,toa_1px_B5,toa_1px_B6,toa_1px_B7,toa_1px_B8A,toa_3x3_B11,toa_3x3_B2,toa_3x3_B3,toa_3x3_B4,toa_3x3_B5,toa_3x3_B6,toa_3x3_B7,toa_3x3_B8A,toa_5x5_B11,toa_5x5_B2,toa_5x5_B3,toa_5x5_B4,toa_5x5_B5,toa_5x5_B6,toa_5x5_B7,toa_5x5_B8A,chl_0-1.5,chl_0-3,chl_0-5
1.0,1.0,1.0,0.094,0.0032371537732197053,0.009294,0.031313,0.047772999999999996,0.024677000000000004,0.020111,0.006847000000000001,0.007515000000000001,0.005409,0.009052970852017938,0.03240280269058296,0.048396188340807174,0.025313957399103148,0.020885538116591933,0.008024047085201796,0.007832903587443948,0.005494394618834083,0.009227962850797496,0.03350954976781748,0.04953080961033716,0.026044942459115684,0.021566888754290324,0.00842549969715324,0.008178114274177264,0.0060769634564910155,2018-03-15 11:06:09.689000+00:00,0.011378999999999998,0.08825100000000001,0.073881,0.043798000000000004,0.037098,0.026649,0.025716999999999997,0.020511,0.011069002242152466,0.08887275784753365,0.0740707399103139,0.04417337443946189,0.03754439461883408,0.027517825112107628,0.025910818385650226,0.02047281390134529,0.011095416919038965,0.08927474258025436,0.07438231374924287,0.044450615788411064,0.037833454472037155,0.027682374318594792,0.026045891378962245,0.020856773672521697,10.1,9.35,9.149999999999999
0.0,0.0,0.0,0.121,1.0,0.7037469999999999,1.2102730000000002,1.09664,1.053893,1.0843990000000001,1.043664,1.0174460000000003,0.990352,0.7087616591928252,1.2166961322869958,1.1063358744394618,1.0632532511210764,1.0919108744394619,1.0482122757847534,1.0250764013452915,0.9952959641255608,0.7200724611346657,1.230391479911165,1.1215370482535836,1.0785719765798505,1.106565758126388,1.063798445386634,1.0399861094286291,1.0099088431253784,2018-03-20 11:04:36.565000+00:00,0.6419520000000001,0.8506890000000001,0.780893,0.856295,0.880229,0.8928940000000001,0.904555,0.917225,0.6437853139013455,0.8512315582959643,0.7838453475336323,0.8595679932735427,0.8829614910313903,0.8933838565022423,0.9077247757847534,0.9182761210762334,0.6473407429840501,0.8517637795275591,0.7859917423783567,0.8622844336765596,0.8859997981021602,0.8976462951746416,0.9117728447405611,0.9225387038158693,8.9,8.4,8.15
0.0,0.0,0.0,0.187,1.0,0.5865980000000001,1.1982640000000002,1.094456,1.047027,1.0808300000000002,1.025123,0.9960359999999999,0.979207,0.5766404708520179,1.1880014573991033,1.0858040358744396,1.0373271860986548,1.0732359304932737,1.0183743273542603,0.991358912556054,0.9723987107623319,0.5683808197052291,1.1842219866747423,1.0826644256006461,1.0345372501514234,1.0702303856248734,1.0170495457298605,0.9900710882293559,0.9724263476680797,2018-03-25 11:09:19.448000+00:00,0.532949,0.7960710000000001,0.746629,0.8159870000000001,0.835352,0.8482069999999999,0.869003,0.8789079999999999,0.5232514013452915,0.7878890695067264,0.73898783632287,0.80614899103139,0.8282288677130045,0.8412560538116594,0.8633823991031392,0.8711564461883409,0.5125800323036545,0.7804564708257619,0.7316622652937613,0.7978371492025036,0.8203688269735512,0.8343451039773874,0.8561595396729255,0.8648547546941246,5.4,5.45,5.2
1.0,1.0,1.0,0.08786547085201793,0.0029229759373439624,0.013111000000000001,0.029280999999999998,0.03486,0.014112999999999999,0.010098,0.00703,0.008798,0.0062959999999999995,0.013243609865470855,0.030100112107623325,0.0353127802690583,0.014513060538116594,0.011091199551569508,0.006961827354260091,0.008942320627802692,0.007111995515695068,0.013637007874015745,0.03045422975974156,0.03585596608116293,0.01490060569351908,0.012138057742782154,0.007375105996365839,0.008952634766807991,0.007629113668483746,2018-03-30 11:00:02+00:00,0.015113000000000001,0.08598499999999999,0.066449,0.036248999999999997,0.0309,0.028749,0.0285,0.022698,0.015118553811659193,0.08646776905829598,0.06663643497757847,0.03652673766816144,0.0316197869955157,0.028627858744394625,0.028520067264573994,0.02332673766816144,0.01527248132444983,0.08647070462346051,0.06674276196244701,0.03665711689884917,0.032286048859277196,0.02877952755905511,0.028334060165556233,0.023600020189783962,6.4,4.45,3.65
1.0,1.0,1.0,0.083,0.0029229759373439624,0.013245000000000002,0.032981,0.036893999999999996,0.015213,0.011366000000000001,0.008213,0.009798000000000001,0.007064,0.013308127802690584,0.033872926008968615,0.037438396860986545,0.015685033632287,0.012458688340807177,0.008195739910313903,0.009860033632286998,0.0077858744394618835,0.013727942661013527,0.03430686452654957,0.038030002018978395,0.01610817686250757,0.013453099131839286,0.008604542701393094,0.009882677165354327,0.008311508176862508,2018-03-30 11:00:02+00:00,0.015130000000000001,0.08598499999999999,0.066449,0.036248999999999997,0.030851000000000003,0.028732,0.0285,0.022666000000000002,0.015118273542600898,0.0864572869955157,0.06663643497757847,0.03652673766816144,0.03166765695067265,0.028661322869955163,0.02849232062780269,0.023295683856502245,0.015320775287704425,0.08646555622854835,0.06673979406420352,0.036654855643044625,0.03229006662628709,0.028803230365435084,0.028307147183525123,0.02357258227336967,6.4,4.45,3.65
0.0,0.0,0.0,0.14300000000000002,0.5657613482717414,0.106047,0.132365,0.120493,0.11868799999999999,0.13078,0.151753,0.16178000000000003,0.168884,0.10490913677130044,0.13047847533632287,0.12172813901345293,0.11954349775784755,0.13241418161434979,0.15223800448430497,0.1625806614349776,0.16622729820627802,0.10382473248536242,0.12844968705834847,0.1209389460932768,0.11927492428831009,0.1311778114274177,0.15100581465778312,0.16026626287098725,0.1634377548960226,2018-04-09 11:04:05.466000+00:00,0.09937800000000002,0.160415,0.130677,0.12305899999999999,0.130221,0.152213,0.163338,0.171391,0.09815409192825114,0.1590765134529148,0.13117864349775785,0.12335594170403588,0.13118615470852021,0.15223828475336323,0.1636035874439462,0.16865543721973095,0.09661354734504336,0.15741887744801125,0.1302101150817686,0.12255903492832627,0.129560508782556,0.1503136079143953,0.1606048657379366,0.16505150413890568,2.8,2.8,2.45
0.0,0.0,0.0,0.154,0.5657613482717414,0.104615,0.130448,0.116976,0.115205,0.128399,0.146521,0.15511600000000003,0.16255399999999998,0.10365846412556054,0.12826642376681616,0.11793593049327357,0.11581687219730942,0.1304135089686099,0.1471664798206278,0.1561502802690583,0.16017909192825114,0.10259030890369471,0.12622580254391277,0.1171581061982637,0.11553797698364625,0.12917322834645667,0.1459459721380981,0.1538275792449021,0.15732824550777305,2018-04-09 11:04:05.466000+00:00,0.099361,0.160415,0.130677,0.12307599999999998,0.130138,0.152279,0.163338,0.171491,0.09812909192825113,0.15906423766816144,0.1311498878923767,0.12335263452914799,0.13117202914798207,0.15220375560538113,0.16359299327354265,0.1687185538116592,0.09659014738542297,0.1574139107611548,0.13019551786795877,0.12256959418534219,0.1295466182111851,0.15027985059559862,0.16058302039168182,0.16506054916212395,2.8,2.8,2.45
1.0,0.9686098654708521,0.8312134060165555,0.132,0.26904282356109355,0.009268,0.028625000000000005,0.036787,0.017177,0.011087000000000001,0.0022419999999999996,0.0040420000000000005,0.0058119999999999995,0.012528082959641255,0.035591704035874444,0.04564915919282512,0.022468778026905827,0.015459360986547089,0.007286771300448433,0.008480773542600899,0.009091367713004485,0.014432424793054711,0.03778088027458106,0.048364526549565905,0.025166606097314758,0.01826369876842317,0.010542822531798907,0.010910276600040378,0.011477044215626892,2018-04-14 11:07:09+00:00,0.012766,0.091367,0.070974,0.041599,0.034947,0.029487,0.029921,0.027059000000000003,0.01577853139013453,0.0957943946188341,0.07711121076233185,0.04575784753363229,0.038344058295964135,0.033888228699551576,0.03372219730941704,0.030068778026905836,0.01749004643650313,0.0971957803351504,0.0789794064203513,0.0478799313547345,0.04052810417928528,0.03656664647688269,0.03578570563294973,0.03217530789420553,3.1,2.55,2.1
1.0,0.9686098654708521,0.8312134060165555,0.116,0.2718367621729886,0.009751,0.033555,0.0397,0.019274999999999997,0.013853,0.0045590000000000006,0.0064080000000000005,0.007844,0.013026345291479825,0.040257903587443945,0.04828004484304933,0.024412443946188342,0.018000280269058297,0.009795123318385652,0.010706838565022421,0.010904484304932738,0.0148676963456491,0.042450050474459926,0.0509655158489804,0.02708075913587724,0.020723137492428826,0.013064223702806379,0.013160367454068237,0.013302160306884716,2018-04-14 11:07:09.384000+00:00,0.012766,0.091367,0.070974,0.041599,0.035147000000000005,0.029470000000000003,0.029838,0.027142000000000003,0.015823318385650226,0.09577875560538118,0.07711121076233185,0.04575784753363229,0.03843015695067266,0.033859809417040365,0.03366698430493274,0.03003800448430494,0.017509630526953365,0.09718524126791843,0.0789794064203513,0.04788001211387038,0.04056820109024833,0.03654140924692105,0.03578120331112456,0.032179244902079546,3.1,2.55,2.1
1.0,0.95347533632287,0.7173430244296385,0.219,0.12370191255757587,0.030183000000000005,0.038763000000000006,0.05348,0.026936,0.025755,0.020087,0.025068000000000003,0.026651,0.03035375560538117,0.04046552690582961,0.05525616591928252,0.028308744394618838,0.025671356502242164,0.022004035874439463,0.025349887892376678,0.026159417040358752,0.03128390874217646,0.041514536644457894,0.056255582475267504,0.02943561477892186,0.02633476680799515,0.022676014536644456,0.026670644054108624,0.02709275186755501,2018-04-19 11:09:32.885000+00:00,0.034083,0.098874,0.085691,0.054202,0.052253,0.053335999999999995,0.057134000000000004,0.054617000000000006,0.03421877802690583,0.09985807174887894,0.0867362668161435,0.05518856502242154,0.05211126681614351,0.0547240470852018,0.05732371076233184,0.05426020179372197,0.03500405814657782,0.10042899252977992,0.08731815061578842,0.05597086614173228,0.05259909145972137,0.05520983242479305,0.0583143347466182,0.05504516454673935,6.1,4.449999999999999,3.025
