agua_1px,agua_3x3,agua_5x5,aot,nubes300,sr_1px_B11,sr_1px_B2,sr_1px_B3,sr_1px_B4,sr_1px_B5,sr_1px_B6,sr_1px_B7,sr_1px_B8A,sr_3x3_B11,sr_3x3_B2,sr_3x3_B3,sr_3x3_B4,sr_3x3_B5,sr_3x3_B6,sr_3x3_B7,sr_3x3_B8A,sr_5x5_B11,sr_5x5_B2,sr_5x5_B3,sr_5x5_B4,sr_5x5_B5,sr_5x5_B6,sr_5x5_B7,sr_5x5_B8A,t,toa_1px_B11,toa_1px_B2,toa_1px_B3,toa_1px_B4,toa_1px_B5,toa_1px_B6,toa_1px_B7,toa_1px_B8A,toa_3x3_B11,toa_3x3_B2,toa_3x3_B3,toa_3x3_B4,toa_3x3_B5,toa_3x3_B6,toa_3x3_B7,toa_3x3_B8A,toa_5x5_B11,toa_5x5_B2,toa_5x5_B3,toa_5x5_B4,toa_5x5_B5,toa_5x5_B6,toa_5x5_B7,toa_5x5_B8A
0.0,0.0,0.0,0.105,0.8252610200681093,0.21894,0.209246,0.198212,0.19014599999999998,0.200493,0.209063,0.211821,0.21437,0.2233991591928252,0.21164736547085208,0.2002531950672646,0.19291362107623322,0.20426922645739912,0.21326406950672647,0.2158119394618834,0.2172082959641256,0.2303537250151423,0.21708415101958412,0.2059869170199879,0.1989515647082576,0.21049513426206337,0.21963585705632951,0.2227314354936402,0.2244751059963658,2018-02-08 11:02:11.458000+00:00,0.20613299999999998,0.218709,0.18432400000000002,0.183822,0.18955200000000003,0.20405600000000002,0.21156499999999998,0.21808000000000002,0.20784641255605382,0.21881860986547086,0.18423587443946188,0.18434837443946195,0.1906772421524664,0.20546502242152465,0.2128934417040359,0.21833122197309418,0.20929844538663434,0.21916093276801943,0.18481871592973953,0.1852410458308096,0.19164284272158288,0.2063779325661215,0.2142659196446598,0.21997540884312536
0.0,0.0,0.0,0.11,1.0,0.27356,0.35273800000000005,0.35772600000000004,0.35558700000000004,0.382556,0.385434,0.378273,0.376619,0.2765014573991032,0.35782376681614353,0.35895140134529147,0.35616255605381175,0.3859462443946189,0.39143536995515704,0.3863994394618835,0.3842694506726458,0.28082014940440125,0.3648387240056531,0.36180658186957393,0.3579490611750454,0.38929913183928927,0.39822465172622656,0.39714936402180495,0.3951005047445993,2018-02-18 11:05:29.830000+00:00,0.24735900000000002,0.29801900000000003,0.280252,0.30318900000000004,0.317886,0.337381,0.345022,0.355321,0.24719747757847532,0.29981423766816145,0.2795797085201794,0.3014984865470852,0.3172710201793722,0.33864831838565024,0.348230269058296,0.3584872757847534,0.24657133050676353,0.30065410862103775,0.2777381990712699,0.2981830203916817,0.31488273773470615,0.33847240056531386,0.35139428629113667,0.36192873006258836
0.0,0.0,0.0,0.187,1.0,0.271011,0.37265699999999996,0.370764,0.36468900000000004,0.388924,0.389136,0.380607,0.379402,0.2733616031390135,0.3777019618834081,0.3715818946188341,0.3647767376681615,0.3915475896860987,0.39443486547085205,0.3881294843049329,0.38646227578475345,0.2777117908338381,0.38464502321825156,0.3740324853624066,0.3661972743791641,0.3948278417120936,0.40135992327882075,0.39921556632344024,0.39767789218655347,2018-02-18 11:05:29.830000+00:00,0.24735900000000002,0.29801900000000003,0.280252,0.303172,0.317886,0.337381,0.345022,0.355404,0.24719747757847532,0.2998246076233184,0.27956900224215253,0.3014894058295965,0.3172944506726457,0.33864831838565024,0.34823279147982067,0.3585125560538117,0.24656644457904298,0.3006681001413285,0.2777394912174439,0.29820351302241066,0.31489178275792445,0.3384732485362406,0.35139299414496267,0.36194538663436304
1.0,1.0,1.0,0.159,0.0,0.003221,0.0,0.005866,3.4e-05,0.0,0.0,0.0,0.0,0.0031677130044843044,0.0,0.006283408071748881,0.00022584080717488793,0.0,0.0,0.0,0.0,0.003170401776700989,1.8170805572380375e-07,0.0065875429032909326,0.00030337169392287503,0.0,0.0,0.0,0.0,2018-02-23 11:09:31.052000+00:00,0.008987,0.08395300000000001,0.057766000000000005,0.035334,0.031168,0.028350999999999998,0.026049,0.022213,0.008939910313901346,0.08400033632286995,0.058003867713004496,0.03546468609865471,0.03146597533632287,0.02827186098654709,0.026228979820627805,0.02178817264573991,0.008938481728245507,0.0840313749242883,0.05818037552998182,0.03553678578639209,0.03163026448617,0.02815087825560266,0.026510882293559454,0.02175172622652938
0.0,0.0,0.0,0.187,1.0,0.4266020000000001,1.025559,0.926073,0.873411,0.910816,0.8784360000000001,0.8552730000000001,0.834632,0.4291313901345291,1.0326216928251124,0.9318719730941706,0.8784704035874442,0.9139552690582959,0.8848578475336325,0.8609273542600897,0.8415585762331839,0.4348971330506763,1.046615061578841,0.9444434282253179,0.8906389864728446,0.9266991318392891,0.8976275186755499,0.873026186149808,0.8540958207147183,2018-03-05 11:04:34.905000+00:00,0.385387,0.6789300000000001,0.6228830000000001,0.6736169999999999,0.7066769999999999,0.71924,0.734094,0.737566,0.38559781390134534,0.679497869955157,0.622890470852018,0.6731012892376683,0.7055048206278027,0.7206016255605382,0.7350586322869955,0.7396165358744395,0.3854334746618211,0.6798824752675144,0.6228865334140924,0.6729157278417119,0.7056925903492832,0.7209791237633756,0.7350739147991117,0.7400957399555824
0.0,0.0,0.0,0.198,1.0,0.419304,1.039986,0.9275340000000001,0.8685889999999999,0.9068030000000001,0.8712230000000001,0.846677,0.822502,0.4220453475336323,1.0472601457399104,0.9334677130044845,0.8738206278026905,0.9102788677130047,0.8779565582959642,0.8526190022421526,0.8296745515695068,0.42739460932768025,1.0607679386230568,0.9454509792045224,0.8853802745810616,0.9221976176054916,0.8898658994548758,0.8638641833232384,0.8413870381586914,2018-03-05 11:04:34.905000+00:00,0.38537,0.6789300000000001,0.622866,0.6736169999999999,0.7066769999999999,0.71924,0.7341770000000001,0.7376320000000001,0.3855884529147983,0.6794871636771301,0.622876177130045,0.6731150784753365,0.7054944506726458,0.7206016255605382,0.7350775224215247,0.7396060538116592,0.38542929537653947,0.6798724409448816,0.6228856248738138,0.6729208762366241,0.7056853220270543,0.7209789622451037,0.7350793660407833,0.740086210377549
1.0,1.0,1.0,0.11748150224215248,0.0032371537732197053,0.00846,0.024464000000000003,0.043890000000000005,0.021777,0.016411000000000002,0.00253,0.003598,0.0020259999999999996,0.0082210201793722,0.025587556053811664,0.04454596412556054,0.02242090807174888,0.017126345291479824,0.003653755605381166,0.00383335201793722,0.0022341367713004487,0.008394286291136682,0.026629335756107406,0.04566844336765596,0.023133171815061575,0.017793135473450426,0.004021360791439531,0.004082232990107005,0.0028068443367655965,2018-03-15 11:06:09.689000+00:00,0.011362,0.08825100000000001,0.073881,0.043798000000000004,0.037098,0.026732,0.0259,0.020428,0.01105347533632287,0.08887275784753365,0.0740707399103139,0.0441730941704036,0.037517208520179375,0.02755140134529149,0.026011827354260095,0.020484473094170404,0.01108059761760549,0.08927452049263071,0.07438231374924287,0.044445830809610336,0.03782063395921664,0.027708015344235816,0.026075590551181096,0.02086139713305067
1.0,1.0,1.0,0.094,0.0032371537732197053,0.009294,0.031313,0.047772999999999996,0.024677000000000004,0.020111,0.006847000000000001,0.007515000000000001,0.005409,0.009052970852017938,0.03240280269058296,0.048396188340807174,0.025313957399103148,0.020885538116591933,0.008024047085201796,0.007832903587443948,0.005494394618834083,0.009227962850797496,0.03350954976781748,0.04953080961033716,0.026044942459115684,0.021566888754290324,0.00842549969715324,0.008178114274177264,0.0060769634564910155,2018-03-15 11:06:09.689000+00:00,0.011378999999999998,0.08825100000000001,0.073881,0.043798000000000004,0.037098,0.026649,0.025716999999999997,0.020511,0.011069002242152466,0.08887275784753365,0.0740707399103139,0.04417337443946189,0.03754439461883408,0.027517825112107628,0.025910818385650226,0.02047281390134529,0.011095416919038965,0.08927474258025436,0.07438231374924287,0.044450615788411064,0.037833454472037155,0.027682374318594792,0.026045891378962245,0.020856773672521697
0.0,0.0,0.0,0.121,1.0,0.7037469999999999,1.2102730000000002,1.09664,1.053893,1.0843990000000001,1.043664,1.0174460000000003,0.990352,0.7087616591928252,1.2166961322869958,1.1063358744394618,1.0632532511210764,1.0919108744394619,1.0482122757847534,1.0250764013452915,0.9952959641255608,0.7200724611346657,1.230391479911165,1.1215370482535836,1.0785719765798505,1.106565758126388,1.063798445386634,1.0399861094286291,1.0099088431253784,2018-03-20 11:04:36.565000+00:00,0.6419520000000001,0.8506890000000001,0.780893,0.856295,0.880229,0.8928940000000001,0.904555,0.917225,0.6437853139013455,0.8512315582959643,0.7838453475336323,0.8595679932735427,0.8829614910313903,0.8933838565022423,0.9077247757847534,0.9182761210762334,0.6473407429840501,0.8517637795275591,0.7859917423783567,0.8622844336765596,0.8859997981021602,0.8976462951746416,0.9117728447405611,0.9225387038158693
0.0,0.0,0.0,0.187,1.0,0.5865980000000001,1.1982640000000002,1.094456,1.047027,1.0808300000000002,1.025123,0.9960359999999999,0.979207,0.5766404708520179,1.1880014573991033,1.0858040358744396,1.0373271860986548,1.0732359304932737,1.0183743273542603,0.991358912556054,0.9723987107623319,0.5683808197052291,1.1842219866747423,1.0826644256006461,1.0345372501514234,1.0702303856248734,1.0170495457298605,0.9900710882293559,0.9724263476680797,2018-03-25 11:09:19.448000+00:00,0.532949,0.7960710000000001,0.746629,0.8159870000000001,0.835352,0.8482069999999999,0.869003,0.8789079999999999,0.5232514013452915,0.7878890695067264,0.73898783632287,0.80614899103139,0.8282288677130045,0.8412560538116594,0.8633823991031392,0.8711564461883409,0.5125800323036545,0.7804564708257619,0.7316622652937613,0.7978371492025036,0.8203688269735512,0.8343451039773874,0.8561595396729255,0.8648547546941246
1.0,1.0,1.0,0.08786547085201793,0.0029229759373439624,0.013111000000000001,0.029280999999999998,0.03486,0.014112999999999999,0.010098,0.00703,0.008798,0.0062959999999999995,0.013243609865470855,0.030100112107623325,0.0353127802690583,0.014513060538116594,0.011091199551569508,0.006961827354260091,0.008942320627802692,0.007111995515695068,0.013637007874015745,0.03045422975974156,0.03585596608116293,0.01490060569351908,0.012138057742782154,0.007375105996365839,0.008952634766807991,0.007629113668483746,2018-03-30 11:00:02+00:00,0.015113000000000001,0.08598499999999999,0.066449,0.036248999999999997,0.0309,0.028749,0.0285,0.022698,0.015118553811659193,0.08646776905829598,0.06663643497757847,0.03652673766816144,0.0316197869955157,0.028627858744394625,0.028520067264573994,0.02332673766816144,0.01527248132444983,0.08647070462346051,0.06674276196244701,0.03665711689884917,0.032286048859277196,0.02877952755905511,0.028334060165556233,0.023600020189783962
1.0,1.0,1.0,0.083,0.0029229759373439624,0.013245000000000002,0.032981,0.036893999999999996,0.015213,0.011366000000000001,0.008213,0.009798000000000001,0.007064,0.013308127802690584,0.033872926008968615,0.037438396860986545,0.015685033632287,0.012458688340807177,0.008195739910313903,0.009860033632286998,0.0077858744394618835,0.013727942661013527,0.03430686452654957,0.038030002018978395,0.01610817686250757,0.013453099131839286,0.008604542701393094,0.009882677165354327,0.008311508176862508,2018-03-30 11:00:02+00:00,0.015130000000000001,0.08598499999999999,0.066449,0.036248999999999997,0.030851000000000003,0.028732,0.0285,0.022666000000000002,0.015118273542600898,0.0864572869955157,0.06663643497757847,0.03652673766816144,0.03166765695067265,0.028661322869955163,0.02849232062780269,0.023295683856502245,0.015320775287704425,0.08646555622854835,0.06673979406420352,0.036654855643044625,0.03229006662628709,0.028803230365435084,0.028307147183525123,0.02357258227336967
0.0,0.0,0.0,0.14300000000000002,0.5657613482717414,0.106047,0.132365,0.120493,0.11868799999999999,0.13078,0.151753,0.16178000000000003,0.168884,0.10490913677130044,0.13047847533632287,0.12172813901345293,0.11954349775784755,0.13241418161434979,0.15223800448430497,0.1625806614349776,0.16622729820627802,0.10382473248536242,0.12844968705834847,0.1209389460932768,0.11927492428831009,0.1311778114274177,0.15100581465778312,0.16026626287098725,0.1634377548960226,2018-04-09 11:04:05.466000+00:00,0.09937800000000002,0.160415,0.130677,0.12305899999999999,0.130221,0.152213,0.163338,0.171391,0.09815409192825114,0.1590765134529148,0.13117864349775785,0.12335594170403588,0.13118615470852021,0.15223828475336323,0.1636035874439462,0.16865543721973095,0.09661354734504336,0.15741887744801125,0.1302101150817686,0.12255903492832627,0.129560508782556,0.1503136079143953,0.1606048657379366,0.16505150413890568
0.0,0.0,0.0,0.154,0.5657613482717414,0.104615,0.130448,0.116976,0.115205,0.128399,0.146521,0.15511600000000003,0.16255399999999998,0.10365846412556054,0.12826642376681616,0.11793593049327357,0.11581687219730942,0.1304135089686099,0.1471664798206278,0.1561502802690583,0.16017909192825114,0.10259030890369471,0.12622580254391277,0.1171581061982637,0.11553797698364625,0.12917322834645667,0.1459459721380981,0.1538275792449021,0.15732824550777305,2018-04-09 11:04:05.466000+00:00,0.099361,0.160415,0.130677,0.12307599999999998,0.130138,0.152279,0.163338,0.171491,0.09812909192825113,0.15906423766816144,0.1311498878923767,0.12335263452914799,0.13117202914798207,0.15220375560538113,0.16359299327354265,0.1687185538116592,0.09659014738542297,0.1574139107611548,0.13019551786795877,0.12256959418534219,0.1295466182111851,0.15027985059559862,0.16058302039168182,0.16506054916212395
