corrección,ventana,capa_sonda,filtro,predictores,n,R2_log,RMSE,MAE,sesgo,MAE_log(×),AUC≥10,AUC≥20,clase_trófica_ok
L2A Sen2Cor,1px,0-1.5,"sin brillo (B11<0,02)",NDCI + estacionalidad,208,0.615,87.99,32.58,-3.48,1.93,0.938,0.887,67%
L2A Sen2Cor,1px,0-3,sin filtro,NDCI + estacionalidad,275,0.615,40.19,21.02,-4.45,1.84,0.912,0.85,63%
L1C sin corregir,3x3,0-1.5,sin filtro,NDCI,255,0.614,51.34,22.64,-9.47,1.92,0.865,0.861,57%
L1C sin corregir,1px,0-1.5,"sin brillo (B11<0,02)",NDCI + estacionalidad,218,0.614,58.12,25.01,-7.97,1.92,0.907,0.867,54%
L2A Sen2Cor,3x3,0-5,sin filtro,NDCI + estacionalidad,249,0.608,25.65,14.48,-2.92,1.72,0.923,0.857,63%
L2A Sen2Cor,3x3,0-1.5,"sin brillo (B11<0,02)",NDCI + estacionalidad,206,0.596,117.09,39.14,2.3,1.93,0.944,0.894,70%
L1C sin corregir,1px,0-1.5,sin filtro,NDCI + estacionalidad,285,0.595,51.05,23.56,-8.58,1.93,0.885,0.843,54%
L1C sin corregir,3x3,0-3,sin filtro,NDCI,255,0.589,31.54,18.39,-5.82,1.89,0.867,0.838,58%
L1C sin corregir,3x3,0-5,sin filtro,NDCI + estacionalidad,255,0.583,21.85,13.4,-2.65,1.76,0.911,0.834,58%
L1C sin corregir,1px,0-3,"sin brillo (B11<0,02)",NDCI,218,0.578,34.39,19.8,-7.56,2.0,0.844,0.832,54%
L2A Sen2Cor,5x5,0-1.5,"sin brillo (B11<0,02)",NDCI + estacionalidad,207,0.578,136.93,42.83,5.79,1.97,0.935,0.894,69%
L2A Sen2Cor,1px,0-5,sin filtro,NDCI + estacionalidad,275,0.578,23.88,14.55,-3.89,1.76,0.91,0.827,60%
L1C sin corregir,1px,0-1.5,"sin brillo (B11<0,02)",NDCI,218,0.576,57.58,24.79,-11.06,2.06,0.851,0.864,49%
L2A Sen2Cor,5x5,0-1.5,sin filtro,NDCI + estacionalidad,223,0.575,128.14,39.81,4.61,1.92,0.94,0.882,67%
L1C sin corregir,1px,0-3,sin brillo ni aerosoles,NDCI,153,0.575,24.05,14.38,-4.49,1.93,0.842,0.845,50%
L2A Sen2Cor,3x3,0-1.5,sin filtro,NDCI + estacionalidad,249,0.574,100.4,34.83,-0.4,1.94,0.93,0.864,65%
L1C sin corregir,1px,0-1.5,sin brillo ni aerosoles,NDCI,153,0.574,33.74,16.99,-6.13,2.02,0.829,0.859,46%
L1C sin corregir,1px,0-1.5,sin filtro,NDCI,285,0.564,51.19,22.84,-10.18,1.98,0.846,0.854,56%
L2A Sen2Cor,1px,0-1.5,sin filtro,NDCI + estacionalidad,275,0.564,74.86,29.57,-5.16,1.98,0.905,0.833,60%
L1C sin corregir,1px,0-5,"sin brillo (B11<0,02)",NDCI,218,0.558,22.39,14.15,-5.08,1.87,0.865,0.813,49%
L1C sin corregir,1px,0-5,sin brillo ni aerosoles,NDCI,153,0.552,18.63,11.27,-3.64,1.84,0.862,0.83,48%
L1C sin corregir,1px,0-5,sin filtro,NDCI + estacionalidad,285,0.545,21.68,13.87,-3.43,1.8,0.895,0.81,55%
L1C sin corregir,3x3,0-5,sin filtro,NDCI,255,0.533,21.65,13.97,-4.06,1.83,0.879,0.811,54%
L2A Sen2Cor,3x3,0-1.5,sin brillo ni aerosoles,NDCI,147,0.529,44.52,21.25,-3.63,2.12,0.828,0.864,44%
L2A Sen2Cor,3x3,0-3,sin brillo ni aerosoles,NDCI,147,0.521,29.72,16.0,-3.8,2.02,0.822,0.861,48%
L1C sin corregir,1px,0-3,sin filtro,NDCI,285,0.514,32.72,19.02,-6.88,1.96,0.843,0.802,55%
L2A Sen2Cor,5x5,0-3,sin brillo ni aerosoles,NDCI,148,0.512,30.85,16.32,-3.54,2.03,0.829,0.894,48%
L2A Sen2Cor,5x5,0-5,sin brillo ni aerosoles,NDCI,148,0.503,21.48,11.43,-3.15,1.87,0.865,0.893,57%
L2A Sen2Cor,3x3,0-5,sin brillo ni aerosoles,NDCI,147,0.502,21.07,11.44,-3.46,1.88,0.842,0.855,53%
L2A Sen2Cor,5x5,0-1.5,sin brillo ni aerosoles,NDCI,148,0.5,44.79,21.57,-4.17,2.18,0.787,0.865,45%
L2A Sen2Cor,1px,0-1.5,sin brillo ni aerosoles,NDCI,147,0.491,40.34,20.47,-5.5,2.18,0.815,0.843,44%
L2A Sen2Cor,3x3,0-3,"sin brillo (B11<0,02)",NDCI,206,0.46,61.69,29.27,-2.11,2.23,0.836,0.849,51%
L2A Sen2Cor,5x5,0-3,"sin brillo (B11<0,02)",NDCI,207,0.454,63.7,29.63,-1.6,2.22,0.846,0.875,50%
L2A Sen2Cor,3x3,0-1.5,"sin brillo (B11<0,02)",NDCI,206,0.451,110.09,41.98,1.16,2.29,0.848,0.863,50%
L2A Sen2Cor,5x5,0-3,sin filtro,NDCI,223,0.45,60.81,27.87,-1.68,2.16,0.843,0.855,51%
L2A Sen2Cor,1px,0-1.5,"sin brillo (B11<0,02)",NDCI,208,0.448,87.38,36.21,-4.61,2.32,0.831,0.851,49%
L2A Sen2Cor,1px,0-3,sin brillo ni aerosoles,NDCI,147,0.447,29.01,16.05,-4.78,2.09,0.798,0.818,46%
L2A Sen2Cor,3x3,0-5,"sin brillo (B11<0,02)",NDCI,206,0.446,32.55,17.92,-3.1,2.02,0.847,0.841,52%
L2A Sen2Cor,5x5,0-5,"sin brillo (B11<0,02)",NDCI,207,0.446,33.88,18.07,-2.62,2.01,0.868,0.863,55%
L2A Sen2Cor,3x3,0-3,sin filtro,NDCI,249,0.439,53.58,26.58,-3.62,2.18,0.823,0.811,51%
L2A Sen2Cor,5x5,0-5,sin filtro,NDCI,223,0.438,32.39,17.26,-2.62,1.98,0.861,0.84,56%
L1C sin corregir,1px,0-5,sin filtro,NDCI,285,0.437,22.81,14.69,-4.85,1.9,0.846,0.781,48%
L2A Sen2Cor,5x5,0-1.5,"sin brillo (B11<0,02)",NDCI,207,0.434,108.63,41.91,0.65,2.34,0.823,0.863,52%
L2A Sen2Cor,3x3,0-1.5,sin filtro,NDCI,249,0.433,94.07,36.61,-1.53,2.24,0.83,0.824,50%
L2A Sen2Cor,5x5,0-1.5,sin filtro,NDCI,223,0.431,103.5,39.25,0.29,2.27,0.822,0.847,51%
L2A Sen2Cor,1px,0-5,sin brillo ni aerosoles,NDCI,147,0.421,21.29,11.61,-4.04,1.94,0.809,0.816,53%
L2A Sen2Cor,1px,0-3,"sin brillo (B11<0,02)",NDCI,208,0.418,52.11,26.83,-5.03,2.28,0.81,0.81,50%
L2A Sen2Cor,3x3,0-5,sin filtro,NDCI,249,0.415,29.35,17.18,-4.0,2.02,0.827,0.795,52%
L2A Sen2Cor,1px,0-1.5,sin filtro,NDCI,275,0.415,73.22,31.74,-6.34,2.27,0.809,0.807,47%
L2A Sen2Cor,1px,0-5,"sin brillo (B11<0,02)",NDCI,208,0.399,29.44,17.2,-4.4,2.07,0.815,0.805,54%
L2A Sen2Cor,1px,0-3,sin filtro,NDCI,275,0.384,45.19,24.87,-6.27,2.22,0.801,0.777,48%
L2A Sen2Cor,1px,0-5,sin filtro,NDCI,275,0.35,27.29,17.16,-5.34,2.08,0.796,0.759,51%
